Period;CPI
2009-12;92.228643
2010-01;91.614955
2010-02;91.351945
2010-03;91.439615
2010-04;92.228643
2010-05;92.579323
2010-06;92.842332
2010-07;93.280681
2010-08;93.71903
2010-09;93.98204
2010-10;94.245049
2010-11;94.332719
2010-12;94.683398
2011-01;94.878025
2011-02;95.157078
2011-03;95.343113
2011-04;95.901219
2011-05;96.366308
2011-06;96.738379
2011-07;96.459326
2011-08;96.924414
2011-09;96.738379
2011-10;96.831396
2011-11;96.738379
2011-12;96.738379
2012-01;96.738379
2012-02;96.738379
2012-03;97.110449
2012-04;97.947608
2012-05;97.947608
2012-06;97.668555
2012-07;97.761573
2012-08;98.784767
2012-09;98.784767
2012-10;98.598732
2012-11;98.133644
2012-12;98.319679
2013-01;98.148159
2013-02;98.148159
2013-03;98.343868
2013-04;98.735286
2013-05;98.833141
2013-06;99.615978
2013-07;99.909541
2013-08;100.105251
2013-09;100.105251
2013-10;100.398814
2013-11;100.007396
2013-12;100.105251
2014-01;99.518123
2014-02;99.322414
2014-03;99.615978
2014-04;99.713832
2014-05;99.811687
2014-06;100.105251
2014-07;100.203105
2014-08;100.105251
2014-09;99.811687
2014-10;100.105251
2014-11;99.909541
2014-12;99.909541
2015-01;99.013191
2015-02;98.31451
2015-03;98.613945
2015-04;99.212815
2015-05;99.412438
2015-06;99.711873
2015-07;99.911497
2015-08;99.711873
2015-09;99.312626
2015-10;99.412438
2015-11;99.013191
2015-12;98.91338
2016-01;98.414321
2016-02;98.114886
2016-03;97.915263
2016-04;98.31451
2016-05;98.613945
2016-06;98.91338
2016-07;99.312626
2016-08;99.013191
2016-09;98.91338
2016-10;99.113003
2016-11;98.713756
2016-12;98.713756
2017-01;98.516331
2017-02;98.516331
2017-03;98.812472
2017-04;99.0099
2017-05;99.404755
2017-06;98.713759
2017-07;98.615045
2017-08;98.911186
2017-09;99.0099
2017-10;99.306041
2017-11;99.0099
2017-12;99.108614
2018-01;98.615045
2018-02;98.713759
2018-03;99.0099
2018-04;99.404755
2018-05;99.898324
2018-06;99.997037
2018-07;99.997037
2018-08;100.095751
2018-09;100.194465
2018-10;100.490606
2018-11;100.194465
2018-12;99.898324
2019-01;99.800596
2019-02;99.900297
2019-03;100.398801
2019-04;100.697904
2019-05;101.39581
2019-06;100.797605
2019-07;100.498502
2019-08;100.697904
2019-09;100.498502
2019-10;100.897306
2019-11;100.498502
2019-12;100.498502
2020-01;100.099699
2020-02;99.999998
2020-03;100.398801
2020-04;100.099699
2020-05;99.800596
2020-06;99.700895
2020-07;99.900297
2020-08;99.900297
2020-09;99.800596
2020-10;100.099699
2020-11;99.900297
2020-12;99.800596
