Code: CP
Description: Consumers index - Total
Frequency: Monthly (M)
"Units: Index, base 2020=100"
Price base: -
Seasonal adjustment: Original
Data source: CBS
Data type: AVERAGED
Process: -
Documentation: -
Main subject: Inflation and Monetary Policy
Sub subject 1: Inflation
Sub subject 2: Consumer price index
Sub subject 3: 
Sub subject 4: 
Time;Consumers index - Total
31/10/2009;91.965634
30/11/2009;92.228643
31/12/2009;92.228643
31/01/2010;91.614955
28/02/2010;91.351945
31/03/2010;91.439615
30/04/2010;92.228643
31/05/2010;92.579323
30/06/2010;92.842332
31/07/2010;93.280681
31/08/2010;93.71903
30/09/2010;93.98204
31/10/2010;94.245049
30/11/2010;94.332719
31/12/2010;94.683398
31/01/2011;94.878025
28/02/2011;95.157078
31/03/2011;95.343113
30/04/2011;95.901219
31/05/2011;96.366308
30/06/2011;96.738379
31/07/2011;96.459326
31/08/2011;96.924414
30/09/2011;96.738379
31/10/2011;96.831396
30/11/2011;96.738379
31/12/2011;96.738379
31/01/2012;96.738379
29/02/2012;96.738379
31/03/2012;97.110449
30/04/2012;97.947608
31/05/2012;97.947608
30/06/2012;97.668555
31/07/2012;97.761573
31/08/2012;98.784767
30/09/2012;98.784767
31/10/2012;98.598732
30/11/2012;98.133644
31/12/2012;98.319679
31/01/2013;98.148159
28/02/2013;98.148159
31/03/2013;98.343868
30/04/2013;98.735286
31/05/2013;98.833141
30/06/2013;99.615978
31/07/2013;99.909541
31/08/2013;100.105251
30/09/2013;100.105251
31/10/2013;100.398814
30/11/2013;100.007396
31/12/2013;100.105251
31/01/2014;99.518123
28/02/2014;99.322414
31/03/2014;99.615978
30/04/2014;99.713832
31/05/2014;99.811687
30/06/2014;100.105251
31/07/2014;100.203105
31/08/2014;100.105251
30/09/2014;99.811687
31/10/2014;100.105251
30/11/2014;99.909541
31/12/2014;99.909541
31/01/2015;99.013191
28/02/2015;98.31451
31/03/2015;98.613945
30/04/2015;99.212815
31/05/2015;99.412438
30/06/2015;99.711873
31/07/2015;99.911497
31/08/2015;99.711873
30/09/2015;99.312626
31/10/2015;99.412438
30/11/2015;99.013191
31/12/2015;98.91338
31/01/2016;98.414321
29/02/2016;98.114886
31/03/2016;97.915263
30/04/2016;98.31451
31/05/2016;98.613945
30/06/2016;98.91338
31/07/2016;99.312626
31/08/2016;99.013191
30/09/2016;98.91338
31/10/2016;99.113003
30/11/2016;98.713756
31/12/2016;98.713756
31/01/2017;98.516331
28/02/2017;98.516331
31/03/2017;98.812472
30/04/2017;99.0099
31/05/2017;99.404755
30/06/2017;98.713759
31/07/2017;98.615045
31/08/2017;98.911186
30/09/2017;99.0099
31/10/2017;99.306041
30/11/2017;99.0099
31/12/2017;99.108614
31/01/2018;98.615045
28/02/2018;98.713759
31/03/2018;99.0099
30/04/2018;99.404755
31/05/2018;99.898324
30/06/2018;99.997037
31/07/2018;99.997037
31/08/2018;100.095751
30/09/2018;100.194465
31/10/2018;100.490606
30/11/2018;100.194465
31/12/2018;99.898324
31/01/2019;99.800596
28/02/2019;99.900297
31/03/2019;100.398801
30/04/2019;100.697904
31/05/2019;101.39581
30/06/2019;100.797605
31/07/2019;100.498502
31/08/2019;100.697904
30/09/2019;100.498502
31/10/2019;100.897306
30/11/2019;100.498502
31/12/2019;100.498502
31/01/2020;100.099699
29/02/2020;99.999998
31/03/2020;100.398801
30/04/2020;100.099699
31/05/2020;99.800596
30/06/2020;99.700895
31/07/2020;99.900297
31/08/2020;99.900297
30/09/2020;99.800596
31/10/2020;100.099699
30/11/2020;99.900297
31/12/2020;99.800596
