Code: MOF.E.Q_N
Description: Total Expenditure - Central government
Frequency: Quarterly (Q)
"Units: NIS, million"
Price base: Current prices
Seasonal adjustment: Original
Data source: Ministry of Finance
Data type: SUMMED
Process: -
"Documentation: The data refers to the central government, i.e., the government itself, excluding the national institutions, municipalities and nonprofit organisations. Calculated on a cash basis."
Main subject: Public Sector Activity
Sub subject 1: Government Expenditure
Sub subject 2:
Sub subject 3:
Sub subject 4:
Time;Total Expenditure - Central government
03-2010;59983.017
06-2010;60927.888
09-2010;60850.276
12-2010;72497.708
03-2011;62916.242
06-2011;63493.165
09-2011;63305.921
12-2011;77986.003
03-2012;64196.4
06-2012;70430.194
09-2012;72425.765
12-2012;79223.391
03-2013;68596.063
06-2013;71322.381
09-2013;76250.427
12-2013;86696.584
03-2014;73552.296
06-2014;72481.55
09-2014;77944.445
12-2014;89434.604
03-2015;75062.911
06-2015;77257.672
09-2015;81022.409
12-2015;92516.291
03-2016;79579.911
06-2016;82592.242
09-2016;85477.067
12-2016;100340.06
03-2017;85709.513
06-2017;84659.472
09-2017;85688.696
12-2017;105297.059
03-2018;88800.829
06-2018;89248.185
09-2018;96122.574
12-2018;103852.352
03-2019;98947.19
06-2019;95772.658
09-2019;96379.644
12-2019;109694.46
03-2020;95318.603
06-2020;114719.275
09-2020;127793.924
12-2020;141444.886
