Period;USCPI
2009-12;217.347
2010-01;217.488
2010-02;217.281
2010-03;217.353
2010-04;217.403
2010-05;217.29
2010-06;217.199
2010-07;217.605
2010-08;217.923
2010-09;218.275
2010-10;219.035
2010-11;219.59
2010-12;220.472
2011-01;221.187
2011-02;221.898
2011-03;223.046
2011-04;224.093
2011-05;224.806
2011-06;224.806
2011-07;225.395
2011-08;226.106
2011-09;226.597
2011-10;226.75
2011-11;227.169
2011-12;227.223
2012-01;227.842
2012-02;228.329
2012-03;228.807
2012-04;229.187
2012-05;228.713
2012-06;228.524
2012-07;228.59
2012-08;229.918
2012-09;231.015
2012-10;231.638
2012-11;231.249
2012-12;231.221
2013-01;231.679
2013-02;232.937
2013-03;232.282
2013-04;231.797
2013-05;231.893
2013-06;232.445
2013-07;232.9
2013-08;233.456
2013-09;233.544
2013-10;233.669
2013-11;234.1
2013-12;234.719
2014-01;235.288
2014-02;235.547
2014-03;236.028
2014-04;236.468
2014-05;236.918
2014-06;237.231
2014-07;237.498
2014-08;237.46
2014-09;237.477
2014-10;237.43
2014-11;236.983
2014-12;236.252
2015-01;234.747
2015-02;235.342
2015-03;235.976
2015-04;236.222
2015-05;237.001
2015-06;237.657
2015-07;238.034
2015-08;238.033
2015-09;237.498
2015-10;237.733
2015-11;238.017
2015-12;237.761
2016-01;237.652
2016-02;237.336
2016-03;238.08
2016-04;238.992
2016-05;239.557
2016-06;240.222
2016-07;240.101
2016-08;240.545
2016-09;241.176
2016-10;241.741
2016-11;242.026
2016-12;242.637
2017-01;243.618
2017-02;244.006
2017-03;243.892
2017-04;244.193
2017-05;244.004
2017-06;244.163
2017-07;244.243
2017-08;245.183
2017-09;246.435
2017-10;246.626
2017-11;247.284
2017-12;247.805
2018-01;248.743
2018-02;249.439
2018-03;249.581
2018-04;250.146
2018-05;250.779
2018-06;251.118
2018-07;251.323
2018-08;251.749
2018-09;252.239
2018-10;252.862
2018-11;252.657
2018-12;252.551
2019-01;252.47
2019-02;253.135
2019-03;254.273
2019-04;255.163
2019-05;255.325
2019-06;255.361
2019-07;255.9
2019-08;256.179
2019-09;256.596
2019-10;257.305
2019-11;257.788
2019-12;258.263
2020-01;258.682
2020-02;259.007
2020-03;258.165
2020-04;256.094
2020-05;255.944
2020-06;257.217
2020-07;258.543
2020-08;259.58
2020-09;260.19
2020-10;260.352
2020-11;260.721
2020-12;261.564
